day,daily tweet count,day of week,title,box office,days since release,weekend,star,theaters
18,55,2,RampageMovie,5098,97,0,1721,61
19,46,3,RampageMovie,4059,98,0,1721,61
20,35,4,RampageMovie,35295,99,1,1721,114
21,41,5,RampageMovie,49155,100,1,1721,114
22,27,6,RampageMovie,40598,101,1,1721,114
23,31,0,RampageMovie,16012,102,0,1721,114
24,31,1,RampageMovie,20250,103,0,1721,114
25,11,2,RampageMovie,16462,104,0,1721,114
26,7,3,RampageMovie,15224,105,0,1721,114
20,880,4,InfinityWar,114703,84,1,1205,294
21,827,5,InfinityWar,173427,85,1,1205,294
22,655,6,InfinityWar,137336,86,1,1205,294
23,623,0,InfinityWar,73028,87,0,1205,294
24,991,1,InfinityWar,88989,88,0,1205,294
25,725,2,InfinityWar,74534,89,0,1205,294
26,610,3,InfinityWar,60539,90,0,1205,294
27,2217,4,InfinityWar,115836,91,1,1205,292
28,3298,5,InfinityWar,163772,92,1,1205,292
29,4394,6,InfinityWar,126400,93,1,1205,292
30,5604,0,InfinityWar,61889,94,0,1205,292
31,8543,1,InfinityWar,74496,95,0,1205,292
32,4350,2,InfinityWar,60912,96,0,1205,292
33,4078,3,InfinityWar,57450,97,0,1205,292
34,6353,4,InfinityWar,71327,98,1,1205,205
35,4284,5,InfinityWar,102563,99,1,1205,205
36,1613,6,InfinityWar,79956,100,1,1205,205
21,455,5,Deadpool2,197539,64,1,116,373
22,3810,6,Deadpool2,146960,65,1,116,373
23,1330,0,Deadpool2,67769,66,0,116,373
24,360,1,Deadpool2,85243,67,0,116,373
25,171,2,Deadpool2,71258,68,0,116,373
26,148,3,Deadpool2,51005,69,0,116,373
27,367,4,Deadpool2,81283,70,1,116,267
28,334,5,Deadpool2,113968,71,1,116,267
29,232,6,Deadpool2,83717,72,1,116,267
30,335,0,Deadpool2,39210,73,0,116,267
31,265,1,Deadpool2,47897,74,0,116,267
32,142,2,Deadpool2,41142,75,0,116,267
33,302,3,Deadpool2,33458,76,0,116,267
34,317,4,Deadpool2,51034,77,1,116,196
35,154,5,Deadpool2,70317,78,1,116,196
36,190,6,Deadpool2,63579,79,1,116,196
18,4,2,AdriftMovie,23243,47,0,23082,185
19,2,3,AdriftMovie,19853,48,0,23082,185
20,6,4,AdriftMovie,22259,49,1,23082,131
21,5,5,AdriftMovie,29471,50,1,23082,131
22,2,6,AdriftMovie,23182,51,1,23082,131
23,5,0,AdriftMovie,9245,52,0,23082,131
24,9,1,AdriftMovie,12375,53,0,23082,131
25,13,2,AdriftMovie,9493,54,0,23082,131
26,12,3,AdriftMovie,8937,55,0,23082,131
27,11,4,AdriftMovie,11382,56,1,23082,75
28,3,5,AdriftMovie,14703,57,1,23082,75
29,5,6,AdriftMovie,8905,58,1,23082,75
30,6,0,AdriftMovie,4367,59,0,23082,75
31,12,1,AdriftMovie,6732,60,0,23082,75
32,17,2,AdriftMovie,4956,61,0,23082,75
33,10,3,AdriftMovie,8253,62,0,23082,75
18,75,2,Hereditary,64056,40,0,2679,305
19,72,3,Hereditary,51245,41,0,2679,305
20,50,4,Hereditary,68854,42,1,2679,201
21,29,5,Hereditary,94541,43,1,2679,201
22,29,6,Hereditary,75768,44,1,2679,201
23,42,0,Hereditary,40629,45,0,2679,201
24,30,1,Hereditary,48755,46,0,2679,201
25,29,2,Hereditary,43392,47,0,2679,201
26,98,3,Hereditary,28205,48,0,2679,201
27,174,4,Hereditary,37211,49,1,2679,127
28,43,5,Hereditary,48006,50,1,2679,127
29,21,6,Hereditary,39243,51,1,2679,127
30,81,0,Hereditary,21553,52,0,2679,127
31,77,1,Hereditary,24786,53,0,2679,127
32,47,2,Hereditary,23051,54,0,2679,127
33,26,3,Hereditary,17288,55,0,2679,127
34,24,4,Hereditary,21087,56,1,2679,71
35,30,5,Hereditary,25915,57,1,2679,71
36,20,6,Hereditary,19525,58,1,2679,71
19,80,3,Oceans8,311552,41,0,613,1618
20,61,4,Oceans8,456161,42,1,613,1002
21,51,5,Oceans8,654583,43,1,613,1002
22,49,6,Oceans8,494760,44,1,613,1002
23,52,0,Oceans8,249129,45,0,613,1002
24,38,1,Oceans8,315503,46,0,613,1002
25,53,2,Oceans8,254174,47,0,613,1002
26,216,3,Oceans8,169093,48,0,613,1002
27,266,4,Oceans8,187852,49,1,613,518
28,54,5,Oceans8,265923,50,1,613,518
29,29,6,Oceans8,182064,51,1,613,518
30,71,0,Oceans8,102850,52,0,613,518
31,137,1,Oceans8,144827,53,0,613,518
32,87,2,Oceans8,115159,54,0,613,518
33,101,3,Oceans8,76587,55,0,613,518
34,58,4,Oceans8,88398,56,1,613,248
35,65,5,Oceans8,117296,57,1,613,248
36,45,6,Oceans8,83352,58,1,613,248
18,113,2,MrRogersMovie,299170,40,0,104990,868
19,87,3,MrRogersMovie,266800,41,0,104990,868
20,29,4,MrRogersMovie,346415,42,1,104990,730
21,56,5,MrRogersMovie,535735,43,1,104990,730
22,41,6,MrRogersMovie,476940,44,1,104990,730
23,24,0,MrRogersMovie,219530,45,0,104990,730
24,25,1,MrRogersMovie,243510,46,0,104990,730
25,246,2,MrRogersMovie,229830,47,0,104990,730
26,38,3,MrRogersMovie,188950,48,0,104990,730
27,25,4,MrRogersMovie,186295,49,1,104990,464
28,21,5,MrRogersMovie,290750,50,1,104990,464
29,24,6,MrRogersMovie,227400,51,1,104990,464
30,9,0,MrRogersMovie,113905,52,0,104990,464
31,8,1,MrRogersMovie,125215,53,0,104990,464
32,9,2,MrRogersMovie,133295,54,0,104990,464
33,14,3,MrRogersMovie,115810,55,0,104990,464
34,7,4,MrRogersMovie,127525,56,1,104990,284
35,8,5,MrRogersMovie,208865,57,1,104990,284
36,4,6,MrRogersMovie,164400,58,1,104990,284
19,13,3,Gotti,1735,34,0,5136,31
20,11,4,Gotti,2640,35,1,5136,16
21,12,5,Gotti,3214,36,1,5136,16
22,6,6,Gotti,3018,37,1,5136,16
23,17,0,Gotti,1473,38,0,5136,16
18,3,2,TagMovie,197123,33,0,1867,982
19,5,3,TagMovie,135270,34,0,1867,982
20,5,4,TagMovie,209908,35,1,1867,581
21,5,5,TagMovie,284923,36,1,1867,581
22,4,6,TagMovie,206404,37,1,1867,581
23,3,0,TagMovie,110866,38,0,1867,581
24,21,1,TagMovie,133376,39,0,1867,581
25,9,2,TagMovie,109374,40,0,1867,581
26,8,3,TagMovie,71541,41,0,1867,581
27,1,4,TagMovie,83030,42,1,1867,308
28,1,5,TagMovie,113992,43,1,1867,308
29,2,6,TagMovie,81853,44,1,1867,308
30,1,0,TagMovie,45011,45,0,1867,308
31,3,1,TagMovie,58497,46,0,1867,308
32,3,2,TagMovie,49574,47,0,1867,308
34,2,4,TagMovie,48424,49,1,1867,202
36,3,6,TagMovie,70070,51,1,1867,202
19,405,3,JurassicWorld,1860630,27,0,1472,3695
20,294,4,JurassicWorld,3052630,28,1,1472,3381
21,381,5,JurassicWorld,4590495,29,1,1472,3381
22,397,6,JurassicWorld,3620295,30,1,1472,3381
23,213,0,JurassicWorld,1558275,31,0,1472,3381
24,397,1,JurassicWorld,2104030,32,0,1472,3381
25,266,2,JurassicWorld,1598420,33,0,1472,3381
26,326,3,JurassicWorld,1352850,34,0,1472,3381
27,285,4,JurassicWorld,1956140,35,1,1472,2685
28,235,5,JurassicWorld,2738970,36,1,1472,2685
29,270,6,JurassicWorld,2034625,37,1,1472,2685
30,269,0,JurassicWorld,930910,38,0,1472,2685
31,287,1,JurassicWorld,1324985,39,0,1472,2685
32,229,2,JurassicWorld,1024875,40,0,1472,2685
33,195,3,JurassicWorld,819070,41,0,1472,2685
34,197,4,JurassicWorld,1118705,42,1,1472,1914
35,149,5,JurassicWorld,1652935,43,1,1472,1914
36,360,6,JurassicWorld,1185095,44,1,1472,1914
19,56,3,LeaveNoTrace,119461,20,0,13368,311
20,50,4,LeaveNoTrace,232925,21,1,13368,361
21,47,5,LeaveNoTrace,382720,22,1,13368,361
22,42,6,LeaveNoTrace,307327,23,1,13368,361
23,73,0,LeaveNoTrace,124899,24,0,13368,361
24,134,1,LeaveNoTrace,153946,25,0,13368,361
25,44,2,LeaveNoTrace,145738,26,0,13368,361
26,81,3,LeaveNoTrace,107551,27,0,13368,361
27,80,4,LeaveNoTrace,130926,28,1,13368,289
