title,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
RampageMovie,"$5,098 ","$4,059 ","$35,295 ","$49,155 ","$40,598 ","$16,012 ","$20,250 ","$16,462 ","$15,224 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
InfinityWar,"$96,512 ","$91,442 ","$114,703 ","$173,427 ","$137,336 ","$73,028 ","$88,989 ","$74,534 ","$60,539 ","$115,836 ","$163,772 ","$126,400 ","$61,889 ","$74,496 ","$60,912 ","$57,450 ","$71,327 ","$102,563 ","$79,956 "
Deadpool2,"$95,917 ","$76,669 ","$131,640 ","$197,539 ","$146,960 ","$67,769 ","$85,243 ","$71,258 ","$51,005 ","$81,283 ","$113,968 ","$83,717 ","$39,210 ","$47,897 ","$41,142 ","$33,458 ","$51,034 ","$70,317 ","$63,579 "
AdriftMovie,"$23,243 ","$19,853 ","$22,259 ","$29,471 ","$23,182 ","$9,245 ","$12,375 ","$9,493 ","$8,937 ","$11,382 ","$14,703 ","$8,905 ","$4,367 ","$6,732 ","$4,956 ","$8,253 ",$0 ,$0 ,$0 
Hereditary,"$64,056 ","$51,245 ","$68,854 ","$94,541 ","$75,768 ","$40,629 ","$48,755 ","$43,392 ","$28,205 ","$37,211 ","$48,006 ","$39,243 ","$21,553 ","$24,786 ","$23,051 ","$17,288 ","$21,087 ","$25,915 ","$19,525 "
Oceans8,"$430,239 ","$311,552 ","$456,161 ","$654,583 ","$494,760 ","$249,129 ","$315,503 ","$254,174 ","$169,093 ","$187,852 ","$265,923 ","$182,064 ","$102,850 ","$144,827 ","$115,159 ","$76,587 ","$88,398 ","$117,296 ","$83,352 "
MrRogersMovie,"$299,170 ","$266,800 ","$346,415 ","$535,735 ","$476,940 ","$219,530 ","$243,510 ","$229,830 ","$188,950 ","$186,295 ","$290,750 ","$227,400 ","$113,905 ","$125,215 ","$133,295 ","$115,810 ","$127,525 ","$208,865 ","$164,400 "
Gotti,"$2,368 ","$1,735 ","$2,640 ","$3,214 ","$3,018 ","$1,473 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 
TagMovie,"$197,123 ","$135,270 ","$209,908 ","$284,923 ","$206,404 ","$110,866 ","$133,376 ","$109,374 ","$71,541 ","$83,030 ","$113,992 ","$81,853 ","$45,011 ","$58,497 ","$49,574 ","$32,475 ","$48,424 ","$66,404 ","$70,070 "
JurassicWorld,"$2,010,810 ","$1,860,630 ","$3,052,630 ","$4,590,495 ","$3,620,295 ","$1,558,275 ","$2,104,030 ","$1,598,420 ","$1,352,850 ","$1,956,140 ","$2,738,970 ","$2,034,625 ","$930,910 ","$1,324,985 ","$1,024,875 ","$819,070 ","$1,118,705 ","$1,652,935 ","$1,185,095 "
LeaveNoTrace,"$140,713 ","$119,461 ","$232,925 ","$382,720 ","$307,327 ","$124,899 ","$153,946 ","$145,738 ","$107,551 ","$130,926 ","$203,492 ","$136,204 ","$62,018 ","$73,996 ","$83,066 ","$68,857 ","$72,236 ","$118,034 ","$80,506 "
